┌────────────┬──────────┬──────────┬───────────────────────┬──────────────────────┬──────────┬──────────┬──────────────────────┬─────────────────────┐
│    date    │ min_prcp │ max_prcp │       avg_prcp        │       sum_prcp       │ min_snow │ max_snow │       avg_snow       │      sum_snow       │
│    date    │  double  │  double  │        double         │        double        │  double  │  double  │        double        │       double        │
├────────────┼──────────┼──────────┼───────────────────────┼──────────────────────┼──────────┼──────────┼──────────────────────┼─────────────────────┤
│ 2013-10-02 │      0.0 │      0.0 │                   0.0 │                  0.0 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-03 │      0.0 │      0.0 │                   0.0 │                  0.0 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-04 │      0.0 │     0.25 │   0.03571428571428571 │                 0.25 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-05 │      0.0 │     0.25 │   0.03571428571428571 │                 0.25 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-06 │      0.0 │     0.25 │   0.03571428571428571 │                 0.25 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-07 │      0.0 │     0.25 │   0.03571428571428571 │                 0.25 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-08 │      0.0 │     0.25 │  0.038571428571428576 │                 0.27 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-09 │      0.0 │     0.25 │  0.038571428571428576 │                 0.27 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-10 │      0.0 │     0.25 │  0.038571428571428576 │                 0.27 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-11 │      0.0 │     0.02 │  0.002857142857142857 │                 0.02 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-12 │      0.0 │     0.02 │  0.002857142857142857 │                 0.02 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-13 │      0.0 │     0.02 │  0.002857142857142857 │                 0.02 │      0.0 │      0.0 │                  0.0 │                 0.0 │
