┌────────────┬───────────────────────┐
│    date    │  moving_7d_avg_prcp   │
│    date    │        double         │
├────────────┼───────────────────────┤
│ 2013-07-01 │                       │
│ 2013-12-31 │                  0.26 │
│ 2014-01-01 │                  0.26 │
│ 2014-01-02 │   0.10857142857142857 │
│ 2014-01-03 │                  0.16 │
│ 2014-01-04 │                  0.16 │
│ 2014-01-05 │                  0.16 │
│ 2014-01-06 │   0.11285714285714286 │
│ 2014-01-07 │   0.08714285714285715 │
│ 2014-01-08 │   0.15857142857142856 │
│ 2014-01-09 │    0.1457142857142857 │
│ 2014-01-10 │   0.09428571428571429 │
│ 2014-01-11 │   0.14857142857142858 │
│ 2014-01-12 │   0.14857142857142858 │
│ 2014-01-13 │   0.14857142857142858 │
│ 2014-01-14 │   0.13285714285714287 │
│ 2014-01-15 │   0.07142857142857142 │
│ 2014-01-16 │    0.0642857142857143 │
│ 2014-01-17 │    0.0642857142857143 │
│ 2014-01-18 │   0.07571428571428572 │
│ 2014-01-19 │   0.07857142857142858 │
│ 2014-01-20 │   0.07857142857142858 │
│ 2014-01-21 │   0.07857142857142858 │
│ 2014-01-22 │   0.07428571428571429 │
│ 2014-01-23 │   0.07428571428571429 │
│ 2014-01-24 │   0.07428571428571429 │
│ 2014-01-25 │  0.008571428571428572 │
│ 2014-01-26 │  0.011428571428571429 │
│ 2014-01-27 │  0.011428571428571429 │
│ 2014-01-28 │  0.011428571428571429 │
│ 2014-01-29 │  0.005714285714285714 │
│ 2014-01-30 │  0.005714285714285714 │
│ 2014-01-31 │   0.17285714285714285 │
│ 2014-02-01 │   0.17285714285714285 │
│ 2014-02-02 │    0.3714285714285714 │
│ 2014-02-03 │    0.3714285714285714 │
│ 2014-02-04 │    0.3714285714285714 │
│ 2014-02-05 │    0.3714285714285714 │
│ 2014-02-06 │    0.3857142857142857 │
│ 2014-02-07 │   0.21857142857142858 │
│ 2014-02-08 │   0.21857142857142858 │
│ 2014-02-09 │  0.014285714285714287 │
│ 2014-02-10 │   0.26857142857142857 │
│ 2014-02-11 │   0.31142857142857144 │
│ 2014-02-12 │                  0.33 │
│ 2014-02-13 │    0.3157142857142857 │
│ 2014-02-14 │    0.3157142857142857 │
│ 2014-02-15 │    0.3385714285714286 │
│ 2014-02-16 │    0.3757142857142857 │
│ 2014-02-17 │   0.12571428571428572 │
│ 2014-02-18 │   0.09571428571428572 │
│ 2014-02-19 │   0.07714285714285715 │
│ 2014-02-20 │   0.07714285714285715 │
│ 2014-02-21 │   0.07714285714285715 │
│ 2014-02-22 │  0.054285714285714284 │
│ 2014-02-23 │   0.02142857142857143 │
│ 2014-02-24 │  0.017142857142857144 │
